provcd,prov_name,year,identifier,area,人均可支配收入（元） ,自然灾害受灾人口（万人）,房价（元每平方）,移动电话普及率,地区基本经济面,代表性方言,amenity_climate,amenity_health,amenity_education,amenity_public_services
21,辽宁省,2014,辽宁省2014,东北,22820,746.7,4835.109285714286,103.29,-1.8843775,东北官话,-0.9513476683181502,-0.19627133669920535,-1.3552641865985475,0.24606948498736467
21,辽宁省,2015,辽宁省2015,东北,24576,715.6,4703.55,97.89,-1.6244987,东北官话,-1.0785382559683576,-0.11055871549853138,-1.5440741886929825,0.2741408377339486
21,辽宁省,2016,辽宁省2016,东北,26040,156.5,4919.145,101.13,-1.4442267,东北官话,-1.0128723072622265,0.10686089431049806,-1.7124883437419043,0.4151956522697534
21,辽宁省,2017,辽宁省2017,东北,27835,599.4,5494.061904761904,108.85,-1.2629105,东北官话,-1.1117713223475838,0.3097516332333099,-1.835440905271062,0.647768823066384
21,辽宁省,2018,辽宁省2018,东北,29701,680.3,5234.886904761906,111.96,-1.2143757,东北官话,-1.053542567769967,0.45099825186447445,-1.7625684473056118,0.5437390728396564
22,吉林省,2010,吉林省2010,东北,10798,779.6,3532.7,65.89,-0.47540325,东北官话,-1.824530362067797,-1.3799914589306161,-1.098220252837733,-1.8661535329901837
22,吉林省,2011,吉林省2011,东北,12621,201.5,3250.10875,72.96,-0.33692211,东北官话,-2.4148367550038583,-1.1852771415569707,-1.195569399506054,-1.478985389284444
22,吉林省,2012,吉林省2012,东北,14395,712.4,3623.65375,82.1,-0.75912857,东北官话,-1.9956254076720117,-1.0902628088587805,-1.2169361566970365,-1.2798513214129248
22,吉林省,2013,吉林省2013,东北,15998,675.4,4127.97,86.22,-0.44348675,东北官话,-1.9572579022148102,-1.0150841250417015,-1.7093234767630525,-0.8538529919371294
22,吉林省,2014,吉林省2014,东北,17520,545.5,3945.475,94.91,-0.23929363,东北官话,-1.7007745705283264,-0.8623583592540476,-2.3042374474195664,-0.7473814082750522
22,吉林省,2015,吉林省2015,东北,18684,450.5,4196.4825,91.22,-0.053613834,东北官话,-1.8469071921208968,-0.7299837066273999,-2.3064617652680703,-0.6368835174943385
22,吉林省,2016,吉林省2016,东北,19967,259.9,4258.0675,97.14,0.049264286,东北官话,-1.663526222973673,-0.5836434453847544,-2.331189058389232,-0.5374641209870243
22,吉林省,2017,吉林省2017,东北,21368,363.4,4847.15625,105.57,0.21187849,东北官话,-1.8750733022203496,-0.5084090454405189,-2.3091796818668953,-0.5455503130803544
22,吉林省,2018,吉林省2018,东北,22798,383.7,4754.760416666666,110.98,0.32014158,东北官话,-1.372310027846517,-0.4021019543911364,-2.297263298502143,-0.34570419937983937
23,黑龙江省,2010,黑龙江省2010,东北,10846,698.7,3437.641666666666,54.16,-0.54278338,东北官话,-2.611082126168585,-1.3851986169491104,-1.0965771979329142,-1.9643352562140204
23,黑龙江省,2011,黑龙江省2011,东北,12605,660.6,3454.8525,62.0,-0.54278338,东北官话,-2.795609962450372,-1.2364533151939012,-1.1755076839736691,-1.6789462481835402
23,黑龙江省,2012,黑龙江省2012,东北,14302,796.2,3616.925,69.5,-0.54278338,东北官话,-2.5343085966579246,-1.1263404985616923,-1.0485867720642366,-1.2462932229660186
23,黑龙江省,2013,黑龙江省2013,东北,15903,666.9,3772.416666666667,78.76,-0.47410831,东北官话,-2.3877121191350335,-0.9728462876386947,-2.290854509018699,-0.7767597991913474
23,黑龙江省,2014,黑龙江省2014,东北,17404,257.4,3801.624166666666,90.21,-0.61627609,东北官话,-2.0451942694367093,-0.8193774455445044,-2.418675505003789,-0.6418353540603275
23,黑龙江省,2015,黑龙江省2015,东北,18593,249.7,3713.6175,87.36,-0.30576989,东北官话,-2.1452980809224447,-0.6212232348011046,-2.318791363842314,-0.4564394698826943
23,黑龙江省,2016,黑龙江省2016,东北,19838,589.1,4144.755,90.69,0.037114624,东北官话,-2.4436242132021793,-0.5764278328612145,-2.148121738390476,-0.34736003185818887
23,黑龙江省,2017,黑龙江省2017,东北,21206,241.5,4839.178571428572,96.53,0.19696736,东北官话,-2.5553639897866676,-0.3792244850995267,-2.0967730458009126,-0.11774143470669782
